slug,attribute,attribute_type,area,dry,scale
aabach,undefined,land-cover,2025021,4967000,0.408
aare-limmatspitz,undefined,land-cover,2842782,7065000,0.402
aare-port,undefined,land-cover,1470180,7065000,0.208
aare-solothurn-lido-strand,undefined,land-cover,3154228,7065000,0.446
aare_bern_caveltin,undefined,land-cover,2543374,7065000,0.36
aare_bern_gerberm,undefined,land-cover,2859805,7065000,0.405
aare_bern_scheurerk,undefined,land-cover,1396150,7065000,0.198
aare_brugg_buchie,undefined,land-cover,2188255,7065000,0.31
aare_elfenau_cataldiv,undefined,land-cover,1145277,7062611,0.162
aare_kehrsatz_stolten,undefined,land-cover,3553748,7065000,0.503
aare_koniz_hoppej,undefined,land-cover,747254,7053413,0.106
aare_post,undefined,land-cover,1519168,7065000,0.215
aare_rupperswil_badert,undefined,land-cover,1952501,7043473,0.277
aare_solothurn_nguyena,undefined,land-cover,2980259,7065000,0.422
aare_suhrespitz_badert,undefined,land-cover,1948041,7065000,0.276
aarezufluss_bern_scheurerk,undefined,land-cover,1423578,7065000,0.201
airolo,undefined,land-cover,4758262,7037540,0.676
anarchy-beach,undefined,land-cover,17126,2548254,0.007
andermatt,undefined,land-cover,6866639,7065000,0.972
arabie,undefined,land-cover,70849,3435483,0.021
arve_carouge_battistellak,undefined,land-cover,1373921,7065000,0.194
ascona-traghetto-spiaggia,undefined,land-cover,577387,4642599,0.124
augustmutzenbergstrandweg,undefined,land-cover,627527,4117306,0.152
baby-plage-geneva,undefined,land-cover,593988,4674735,0.127
baby-plage-ii-geneve,undefined,land-cover,443122,4573041,0.097
bain-des-dames,undefined,land-cover,17119,3306956,0.005
baye-de-clarens,undefined,land-cover,98867,3239859,0.031
baye-de-montreux-d,undefined,land-cover,536430,3077448,0.174
baye-de-montreux-g,undefined,land-cover,531009,3060034,0.174
beich,undefined,land-cover,5324968,7065000,0.754
bern-fahrstrasse,undefined,land-cover,1481293,7065000,0.21
bern-tiergarten,undefined,land-cover,723132,7065000,0.102
bielersee_vinelz_fankhausers,undefined,land-cover,2691650,4762281,0.565
birs_basel_grunern,undefined,land-cover,743974,7065000,0.105
birs_basel_laderachs,undefined,land-cover,834474,7065000,0.118
birs_reinach_dinuccin,undefined,land-cover,164471,7065000,0.023
birskopfli-rusco,undefined,land-cover,661070,7065000,0.094
bodensee_altenrhein_caluoria,undefined,land-cover,2212156,4107846,0.539
bodensee_arbon_moslis,undefined,land-cover,596279,3031126,0.197
bodensee_horn_huberm,undefined,land-cover,617616,3754251,0.165
bodensee_steinach_dolder_a,undefined,land-cover,749115,4958241,0.151
bodensee_thal_schlachterj_1,undefined,land-cover,2249766,4168874,0.54
boiron,undefined,land-cover,1024260,2579071,0.397
brugg-be-buren-bsg-standort,undefined,land-cover,2457807,7065000,0.348
cabanes-des-diablerets,undefined,land-cover,6586639,7065000,0.932
camp-des-peches,undefined,land-cover,2612164,5417037,0.482
camping-gwatt-strand,undefined,land-cover,343715,4058830,0.085
canale-saleggi,undefined,land-cover,1112532,7065000,0.157
caprino,undefined,land-cover,1038006,3640479,0.285
charmey,undefined,land-cover,4180569,7065000,0.592
chriesbach_duebendorf_schneidera,undefined,land-cover,1336772,7065000,0.189
crans-montana,undefined,land-cover,5910573,7065000,0.837
cully-plage,undefined,land-cover,1047544,4389945,0.239
delta-park,undefined,land-cover,709092,3693717,0.192
emme_biberist_jennim,undefined,land-cover,2033803,7065000,0.288
emme_utzenstorf_gruttert,undefined,land-cover,3260219,7065000,0.461
erlach-camping-strand,undefined,land-cover,1394331,2816693,0.495
evole-plage,undefined,land-cover,288485,4422729,0.065
flibach-river-right-bank,undefined,land-cover,2182077,5252170,0.415
foce-del-cassarate,undefined,land-cover,115049,4134215,0.028
gals-reserve,undefined,land-cover,2146896,4566601,0.47
gasi-strand,undefined,land-cover,1839605,4817361,0.382
gerra-gambarogno,undefined,land-cover,513402,3729240,0.138
glatt_oerlikon_covosn,undefined,land-cover,1092146,7065000,0.155
goldach_goldach_schlachterj,undefined,land-cover,2679418,7017103,0.382
golene-gudo,undefined,land-cover,3871232,6994464,0.553
grand-clos,undefined,land-cover,833406,3596235,0.232
greifensee_fallanden_meistery,undefined,land-cover,2121587,4382892,0.484
greifensee_fallanden_simmenc,undefined,land-cover,2114630,4229862,0.5
greifensee_greifensee_simmenc,undefined,land-cover,1521344,3356108,0.453
greifensee_maur_simmenc,undefined,land-cover,3095320,4279180,0.723
greifensee_uster_fischerb_-2,undefined,land-cover,2081146,4010831,0.519
greifensee_uster_fischerb_1,undefined,land-cover,2150847,4077830,0.527
grendelbach_effretikon_dambonec,undefined,land-cover,2424893,7065000,0.343
grindelwald,undefined,land-cover,6834416,7065000,0.967
gummligrabbe,undefined,land-cover,3936838,6537160,0.602
hafeli,undefined,land-cover,1436068,4320370,0.332
hauterive-petite-plage,undefined,land-cover,664684,4959171,0.134
impromptu_cudrefin,undefined,land-cover,2458279,3847617,0.639
isole-di-brissago-porto,undefined,land-cover,273395,1072466,0.255
jardin-botanique,undefined,land-cover,17775,4090886,0.004
jona-river-rastplatz,undefined,land-cover,787362,2597834,0.303
jona_tann_nusslin,undefined,land-cover,2810102,7065000,0.398
katzensee_regensdorfzuerichaffoltern_stueberj,undefined,land-cover,4065929,6735057,0.604
kusnachter-dorfbach-tobelweg-1-4,undefined,land-cover,678691,5530113,0.123
la-berra,undefined,land-cover,3005288,7065000,0.425
la-morges,undefined,land-cover,268595,3446828,0.078
la-pecherie,undefined,land-cover,1911276,4117068,0.464
la-petite-plage,undefined,land-cover,886267,4395012,0.202
la-robella,undefined,land-cover,2869622,7065000,0.406
la-thiele_le-mujon_confluence,undefined,land-cover,2868907,7065000,0.406
la-tzoumaz,undefined,land-cover,2389710,7065000,0.338
lacleman_gland_kubela,undefined,land-cover,2196125,3728437,0.589
lacleman_gland_lecoanets,undefined,land-cover,2192745,3715489,0.59
lacleman_vidy_santie,undefined,land-cover,196770,4511057,0.044
langete_langenthal_geiserm,undefined,land-cover,1520151,7065000,0.215
lavey-la-source,undefined,land-cover,2316588,7065000,0.328
lavey-les-bains,undefined,land-cover,2806347,7065000,0.397
lavey-les-bains-2,undefined,land-cover,2849253,7065000,0.403
le-pierrier,undefined,land-cover,97170,3228561,0.03
le-port,undefined,land-cover,17115,3511620,0.005
les-crosets,undefined,land-cover,5892204,7065000,0.834
les-diablerets,undefined,land-cover,1484593,7065000,0.21
les-glariers,undefined,land-cover,1412110,7065000,0.2
les-paccots,undefined,land-cover,2386119,7065000,0.338
les-vieux-ronquoz,undefined,land-cover,957129,7065000,0.135
leuk-mattenstrasse,undefined,land-cover,2511629,7065000,0.356
lido,undefined,land-cover,115050,3989994,0.029
ligerz-strand,undefined,land-cover,1473059,4050404,0.364
limmat_dietikon_keiserp,undefined,land-cover,1894362,7065000,0.268
limmat_unterengstringen_oggierbuhrer,undefined,land-cover,2227751,7065000,0.315
limmat_zuerich_jansena,undefined,land-cover,908998,7065000,0.129
limmat_zuerich_suterdglauserp,undefined,land-cover,191662,7065000,0.027
limmat_zuerich_wagnerc,undefined,land-cover,1179994,7065000,0.167
limmat_zurich_mortensena_meiera,undefined,land-cover,893580,7065000,0.126
linth_mollis,undefined,land-cover,3799492,6336436,0.6
linth_route9brucke,undefined,land-cover,1535650,4464151,0.344
linthdammweg,undefined,land-cover,4088773,6544737,0.625
lorze_baar_blarere,undefined,land-cover,2101031,7065000,0.297
lugano-centro,undefined,land-cover,136071,5213574,0.026
luscherz-plage,undefined,land-cover,470336,3416622,0.138
luscherz-two,undefined,land-cover,519389,3710879,0.14
magadino-lido,undefined,land-cover,1582695,4429136,0.357
maladaire,undefined,land-cover,58370,4335870,0.013
mannewil,undefined,land-cover,3270906,6574672,0.498
mols-rocks,undefined,land-cover,1854644,4317819,0.43
monte-generoso,undefined,land-cover,4946188,7065000,0.7
morgins,undefined,land-cover,1614837,7060892,0.229
muhlehorn-dorf,undefined,land-cover,2004572,3825716,0.524
mullermatte,undefined,land-cover,745533,5691237,0.131
murg-bad,undefined,land-cover,1542293,3131226,0.493
murg_waengi_strickerr,undefined,land-cover,4973649,7065000,0.704
nendaz,undefined,land-cover,3349628,7044328,0.476
neuenburgersee_cudrefin_mattera,undefined,land-cover,2459693,3939448,0.624
nidau-strand,undefined,land-cover,788579,5439853,0.145
nouvelle-plage,undefined,land-cover,1332446,3456186,0.386
oben-am-see,undefined,land-cover,2452665,5308529,0.462
oberi-chlihochstetten,undefined,land-cover,4626817,6992408,0.662
ognonnaz-1,undefined,land-cover,700944,6053526,0.116
oyonne,undefined,land-cover,20235,4476280,0.005
pacha-mama-gerra,undefined,land-cover,445212,3358348,0.133
parc-des-pierrettes,undefined,land-cover,68285,3832559,0.018
pecos-plage,undefined,land-cover,2779133,4832639,0.575
pfaffner_rothrist_ischik,undefined,land-cover,2809750,7065000,0.398
pfafikon-bad,undefined,land-cover,1304088,3800429,0.343
pierrier-sud,undefined,land-cover,126864,3394123,0.037
plage-de-cheyres,undefined,land-cover,1512520,3653175,0.414
plage-de-dorigny,undefined,land-cover,196771,4436608,0.044
plage-de-serriere,undefined,land-cover,176337,4275025,0.041
plage-de-st-sulpice,undefined,land-cover,35696,3640047,0.01
pointe-dareuse,undefined,land-cover,1654450,2619336,0.632
pont-sous-terre,undefined,land-cover,1084381,7032838,0.154
preverenges,undefined,land-cover,431731,3889946,0.111
preverenges-le-sout,undefined,land-cover,151909,3127595,0.049
quai-maria-belgia,undefined,land-cover,18282,3102130,0.006
rastplatz-stampf,undefined,land-cover,703098,2316821,0.303
reuss,undefined,land-cover,3796459,6601567,0.575
reuss_hunenberg_eberhardy,undefined,land-cover,6408125,7065000,0.907
reuss_ottenbach_schoenenbergerl,undefined,land-cover,5866732,7065000,0.83
reuss_stkarli_linigersimhofy,undefined,land-cover,1861109,7009371,0.266
rhein-beach-tinguely,undefined,land-cover,926308,7065000,0.131
rhein_basel,undefined,land-cover,1708151,7065000,0.242
rhein_basel_hungerbuehlern,undefined,land-cover,994184,7065000,0.141
rhein_domatems_foppa_f,undefined,land-cover,2634675,7065000,0.373
rhein_eglisau_gomringerp,undefined,land-cover,3666394,7065000,0.519
rhein_hemishofen_stolll,undefined,land-cover,5081942,7065000,0.719
rivapiana,undefined,land-cover,17857,3951436,0.005
rocky-plage,undefined,land-cover,350776,4400495,0.08
rolle-plage,undefined,land-cover,277371,4077320,0.068
route-13,undefined,land-cover,1092483,7058161,0.155
ruisseau-de-la-croix-plage,undefined,land-cover,1402781,3520791,0.398
saint-sulpice,undefined,land-cover,91607,3334013,0.027
san-bernardino,undefined,land-cover,2583910,6777889,0.381
san-nazzaro-gambarogno,undefined,land-cover,235098,3804616,0.062
schmerikon-bahnhof-strand,undefined,land-cover,3173305,5632488,0.563
schusspark-strand,undefined,land-cover,331139,7065000,0.047
schutzenmatte,undefined,land-cover,2285390,7065000,0.323
seeflechsen,undefined,land-cover,2704560,5511029,0.491
seemuhlestrasse-strand,undefined,land-cover,1592575,4730030,0.337
seez,undefined,land-cover,1965797,5011621,0.392
seez_spennwiesenbrucke,undefined,land-cover,3477313,6541117,0.532
sempachersee_sempach_tampec,undefined,land-cover,3040359,4568035,0.666
sense_torishaus_g-cubes,undefined,land-cover,4337290,7065000,0.614
sentiero-giro-del-golf-spiaggia,undefined,land-cover,1469990,2643656,0.556
signalpain,undefined,land-cover,586585,4481126,0.131
sihl_adliswil_oggi_fort,undefined,land-cover,1187085,7065000,0.168
sihl_leimbach_kruegerm,undefined,land-cover,1386297,7065000,0.196
sihl_menzingen_kucharska_magdalena,undefined,land-cover,5788842,7065000,0.819
sihl_zuerich_eggerskoehlingera,undefined,land-cover,815890,7065000,0.115
sihl_zuerich_eichenbergerd,undefined,land-cover,1801406,7065000,0.255
sihl_zuerich_scherfs,undefined,land-cover,976026,6807587,0.143
sihl_zurich_himmelhebern,undefined,land-cover,1765190,7053838,0.25
sitter_gaiserwald_buehlerf,undefined,land-cover,2592384,7065000,0.367
sitter_stgallen_jennya,undefined,land-cover,2528423,6940928,0.364
sitter_stgallen_steinbrunnerf,undefined,land-cover,1732928,7065000,0.245
sorne_birse_wwfjura,undefined,land-cover,2888100,7065000,0.409
spackmatt,undefined,land-cover,2544819,7065000,0.36
spiaggia-parco-ciani,undefined,land-cover,115051,4211368,0.027
strandbeiz,undefined,land-cover,687745,2511663,0.274
strandboden-biel,undefined,land-cover,672279,5864928,0.115
sundbach-strand,undefined,land-cover,1210769,3947244,0.307
thun-strandbad,undefined,land-cover,16681,4343057,0.004
thunersee_spiez_meierd_1,undefined,land-cover,1548579,3166434,0.489
thur_schwarzenbach_meiliw,undefined,land-cover,3829817,7065000,0.542
tiger-duck-beach,undefined,land-cover,196771,4467799,0.044
tolochenaz,undefined,land-cover,1096378,3841125,0.285
toss_bauma_kurthe,undefined,land-cover,2851374,7065000,0.404
toss_kollbrunn_burgid,undefined,land-cover,2470628,7065000,0.35
toss_winterthur-2,undefined,land-cover,859063,7065000,0.122
tschilljus,undefined,land-cover,1189577,7019326,0.169
unterdsee_ermatingen_brunkem,undefined,land-cover,2749287,4677451,0.588
untertenzen,undefined,land-cover,2113947,3436553,0.615
urnaesch_urnaesch_meierr,undefined,land-cover,5137973,7065000,0.727
val-calanca,undefined,land-cover,2774602,7065000,0.393
verbier,undefined,land-cover,3619843,7065000,0.512
versoix,undefined,land-cover,525221,3730114,0.141
veveyse,undefined,land-cover,47043,3126368,0.015
veysonnaz,undefined,land-cover,3400559,7065000,0.481
via-brunari-spiaggia,undefined,land-cover,1160986,7065000,0.164
via-mirasole-spiaggia,undefined,land-cover,1034545,7065000,0.146
vidy,undefined,land-cover,17188,3683398,0.005
vidy-ruines,undefined,land-cover,87678,4022452,0.022
vierwaldstattersee_weggis_schoberls_1,undefined,land-cover,2585487,4060624,0.637
vierwaldstattersee_weggis_schoberls_2,undefined,land-cover,2503866,3967598,0.631
vierwaldstattersee_weggis_schoberls_3,undefined,land-cover,1585522,2926722,0.542
villa-barton,undefined,land-cover,19745,3423779,0.006
villars,undefined,land-cover,5580084,6986101,0.799
vira-gambarogno,undefined,land-cover,809582,3816571,0.212
vira-spiaggia-left-of-river,undefined,land-cover,818889,3922974,0.209
vorderrhein_disentis_schmidn,undefined,land-cover,2641710,7065000,0.374
walensee_walenstadt_wysse,undefined,land-cover,1771669,4896449,0.362
weissenau-neuhaus,undefined,land-cover,2533207,3707593,0.683
wycheley,undefined,land-cover,2564577,5425461,0.473
zuerichsee_maennedorf_vanderkaadene,undefined,land-cover,515778,3964841,0.13
zuerichsee_richterswil_benkoem_2,undefined,land-cover,818278,3364094,0.243
zuerichsee_staefa_hennm,undefined,land-cover,1924350,3683138,0.522
zuerichsee_waedenswil_colomboc_1,undefined,land-cover,1055047,3946246,0.267
zuerichsee_zurich_kullg,undefined,land-cover,16943,3750060,0.005
zugersee_immensee_guedesd,undefined,land-cover,828522,2934687,0.282
zugerseecholler_cham_blarerm,undefined,land-cover,1312265,3439487,0.382
zulg_steffisburg_schmassmanne,undefined,land-cover,1162480,7065000,0.165
zurcher-strand,undefined,land-cover,1037256,5861863,0.177
zurichsee-feldeggstr-banningersand,undefined,land-cover,508310,4885814,0.104
zurichsee_kusnachterhorn_thirkell-whitej,undefined,land-cover,123462,3238234,0.038
zurichsee_wollishofen_langendorfm,undefined,land-cover,742204,4266194,0.174
aare-limmatspitz,Siedl,land-cover,2434045,7065000,0.345
aare-limmatspitz,Wald,land-cover,1788173,7065000,0.253
aare-port,Siedl,land-cover,3265723,7065000,0.462
aare-port,Wald,land-cover,2329097,7065000,0.33
aare-solothurn-lido-strand,Siedl,land-cover,2051815,7065000,0.29
aare-solothurn-lido-strand,Wald,land-cover,1858957,7065000,0.263
aare_bern_caveltin,Siedl,land-cover,3362507,7065000,0.476
aare_bern_caveltin,Wald,land-cover,1159119,7065000,0.164
aare_bern_gerberm,Siedl,land-cover,3193975,7065000,0.452
aare_bern_gerberm,Wald,land-cover,1011220,7065000,0.143
aare_bern_scheurerk,Siedl,land-cover,4140928,7065000,0.586
aare_bern_scheurerk,Wald,land-cover,1527922,7065000,0.216
aare_brugg_buchie,Siedl,land-cover,3300011,7065000,0.467
aare_brugg_buchie,Wald,land-cover,1576734,7065000,0.223
aare_kehrsatz_stolten,Siedl,land-cover,2795580,7065000,0.396
aare_kehrsatz_stolten,Wald,land-cover,715672,7065000,0.101
aare_post,Siedl,land-cover,3197097,7065000,0.453
aare_post,Wald,land-cover,2348735,7065000,0.332
aare_solothurn_nguyena,Siedl,land-cover,2272630,7065000,0.322
aare_solothurn_nguyena,Wald,land-cover,1812111,7065000,0.256
aare_suhrespitz_badert,Siedl,land-cover,4185613,7065000,0.592
aare_suhrespitz_badert,Wald,land-cover,931346,7065000,0.132
aarezufluss_bern_scheurerk,Siedl,land-cover,4123439,7065000,0.584
aarezufluss_bern_scheurerk,Wald,land-cover,1517983,7065000,0.215
andermatt,Siedl,land-cover,13145,7065000,0.002
andermatt,Wald,land-cover,185216,7065000,0.026
arve_carouge_battistellak,Siedl,land-cover,5105284,7065000,0.723
arve_carouge_battistellak,Wald,land-cover,585795,7065000,0.083
beich,Siedl,land-cover,246675,7065000,0.035
beich,Wald,land-cover,1493357,7065000,0.211
bern-fahrstrasse,Siedl,land-cover,3338799,7065000,0.473
bern-fahrstrasse,Wald,land-cover,2244908,7065000,0.318
bern-tiergarten,Siedl,land-cover,5120632,7065000,0.725
bern-tiergarten,Wald,land-cover,1221236,7065000,0.173
birs_basel_grunern,Siedl,land-cover,5790919,7065000,0.82
birs_basel_grunern,Wald,land-cover,530107,7065000,0.075
birs_basel_laderachs,Siedl,land-cover,5533568,7065000,0.783
birs_basel_laderachs,Wald,land-cover,696958,7065000,0.099
birs_reinach_dinuccin,Siedl,land-cover,5408373,7065000,0.766
birs_reinach_dinuccin,Wald,land-cover,1492156,7065000,0.211
birskopfli-rusco,Siedl,land-cover,6400846,7065000,0.906
birskopfli-rusco,Wald,land-cover,3084,7065000,0.0
brugg-be-buren-bsg-standort,Siedl,land-cover,2903491,7065000,0.411
brugg-be-buren-bsg-standort,Wald,land-cover,1703702,7065000,0.241
cabanes-des-diablerets,Wald,land-cover,478361,7065000,0.068
canale-saleggi,Reben,land-cover,74905,7065000,0.011
canale-saleggi,Siedl,land-cover,3482402,7065000,0.493
canale-saleggi,Wald,land-cover,2395161,7065000,0.339
charmey,Siedl,land-cover,425317,7065000,0.06
charmey,Wald,land-cover,2459114,7065000,0.348
chriesbach_duebendorf_schneidera,Siedl,land-cover,5547685,7065000,0.785
chriesbach_duebendorf_schneidera,Wald,land-cover,180543,7065000,0.026
crans-montana,Wald,land-cover,1154427,7065000,0.163
emme_biberist_jennim,Obstanlage,land-cover,28882,7065000,0.004
emme_biberist_jennim,Siedl,land-cover,3241411,7065000,0.459
emme_biberist_jennim,Wald,land-cover,1760904,7065000,0.249
emme_utzenstorf_gruttert,Siedl,land-cover,2289470,7065000,0.324
emme_utzenstorf_gruttert,Wald,land-cover,1515311,7065000,0.214
glatt_oerlikon_covosn,Siedl,land-cover,5900051,7065000,0.835
glatt_oerlikon_covosn,Wald,land-cover,72803,7065000,0.01
grendelbach_effretikon_dambonec,Siedl,land-cover,2754538,7065000,0.39
grendelbach_effretikon_dambonec,Wald,land-cover,1885569,7065000,0.267
grindelwald,Wald,land-cover,230584,7065000,0.033
jona_tann_nusslin,Obstanlage,land-cover,268248,7065000,0.038
jona_tann_nusslin,Siedl,land-cover,3159184,7065000,0.447
jona_tann_nusslin,Wald,land-cover,827466,7065000,0.117
la-berra,Wald,land-cover,4059712,7065000,0.575
la-robella,Siedl,land-cover,409062,7065000,0.058
la-robella,Wald,land-cover,3786316,7065000,0.536
la-thiele_le-mujon_confluence,Siedl,land-cover,4196093,7065000,0.594
la-tzoumaz,Siedl,land-cover,1607499,7065000,0.228
la-tzoumaz,Wald,land-cover,3067791,7065000,0.434
langete_langenthal_geiserm,Siedl,land-cover,4193592,7065000,0.594
langete_langenthal_geiserm,Wald,land-cover,1351257,7065000,0.191
lavey-la-source,Siedl,land-cover,1279845,7065000,0.181
lavey-la-source,Wald,land-cover,3468567,7065000,0.491
lavey-les-bains,Siedl,land-cover,2133872,7065000,0.302
lavey-les-bains,Wald,land-cover,2124781,7065000,0.301
lavey-les-bains-2,Siedl,land-cover,2414499,7065000,0.342
lavey-les-bains-2,Wald,land-cover,1801248,7065000,0.255
les-crosets,Siedl,land-cover,388919,7065000,0.055
les-crosets,Wald,land-cover,783877,7065000,0.111
les-diablerets,Siedl,land-cover,2415710,7065000,0.342
les-diablerets,Wald,land-cover,3164697,7065000,0.448
les-glariers,Obstanlage,land-cover,1584267,7065000,0.224
les-glariers,Reben,land-cover,2599213,7065000,0.368
les-glariers,Siedl,land-cover,977704,7065000,0.138
les-glariers,Wald,land-cover,491706,7065000,0.07
les-paccots,Siedl,land-cover,848806,7065000,0.12
les-paccots,Wald,land-cover,3830075,7065000,0.542
les-vieux-ronquoz,Obstanlage,land-cover,674771,7065000,0.096
les-vieux-ronquoz,Reben,land-cover,93406,7065000,0.013
les-vieux-ronquoz,Siedl,land-cover,4376684,7065000,0.619
les-vieux-ronquoz,Wald,land-cover,963010,7065000,0.136
leuk-mattenstrasse,Reben,land-cover,776261,7065000,0.11
leuk-mattenstrasse,Siedl,land-cover,1020569,7065000,0.144
leuk-mattenstrasse,Wald,land-cover,2756541,7065000,0.39
limmat_dietikon_keiserp,Reben,land-cover,8362,7065000,0.001
limmat_dietikon_keiserp,Siedl,land-cover,4447914,7065000,0.63
limmat_dietikon_keiserp,Wald,land-cover,714362,7065000,0.101
limmat_unterengstringen_oggierbuhrer,Reben,land-cover,141072,7065000,0.02
limmat_unterengstringen_oggierbuhrer,Siedl,land-cover,4117418,7065000,0.583
limmat_unterengstringen_oggierbuhrer,Wald,land-cover,578759,7065000,0.082
limmat_zuerich_jansena,Obstanlage,land-cover,81820,7065000,0.012
limmat_zuerich_jansena,Siedl,land-cover,5865518,7065000,0.83
limmat_zuerich_jansena,Wald,land-cover,208664,7065000,0.03
limmat_zuerich_suterdglauserp,Siedl,land-cover,5987368,7065000,0.847
limmat_zuerich_suterdglauserp,Wald,land-cover,885970,7065000,0.125
limmat_zuerich_wagnerc,Obstanlage,land-cover,81820,7065000,0.012
limmat_zuerich_wagnerc,Siedl,land-cover,5301667,7065000,0.75
limmat_zuerich_wagnerc,Wald,land-cover,501519,7065000,0.071
limmat_zurich_mortensena_meiera,Obstanlage,land-cover,81820,7065000,0.012
limmat_zurich_mortensena_meiera,Siedl,land-cover,5830675,7065000,0.825
limmat_zurich_mortensena_meiera,Wald,land-cover,258925,7065000,0.037
lorze_baar_blarere,Obstanlage,land-cover,450636,7065000,0.064
lorze_baar_blarere,Siedl,land-cover,2326684,7065000,0.329
lorze_baar_blarere,Wald,land-cover,2186649,7065000,0.31
monte-generoso,Wald,land-cover,2118812,7065000,0.3
murg_waengi_strickerr,Siedl,land-cover,1993248,7065000,0.282
murg_waengi_strickerr,Wald,land-cover,98103,7065000,0.014
pfaffner_rothrist_ischik,Siedl,land-cover,2612381,7065000,0.37
pfaffner_rothrist_ischik,Wald,land-cover,1642869,7065000,0.233
reuss_hunenberg_eberhardy,Siedl,land-cover,538569,7065000,0.076
reuss_hunenberg_eberhardy,Wald,land-cover,118306,7065000,0.017
reuss_ottenbach_schoenenbergerl,Siedl,land-cover,1198268,7065000,0.17
rhein-beach-tinguely,Siedl,land-cover,6138692,7065000,0.869
rhein_basel,Siedl,land-cover,5356849,7065000,0.758
rhein_basel_hungerbuehlern,Siedl,land-cover,6070816,7065000,0.859
rhein_domatems_foppa_f,Siedl,land-cover,1744500,7065000,0.247
rhein_domatems_foppa_f,Wald,land-cover,2685825,7065000,0.38
rhein_eglisau_gomringerp,Reben,land-cover,166037,7065000,0.024
rhein_eglisau_gomringerp,Siedl,land-cover,1642505,7065000,0.232
rhein_eglisau_gomringerp,Wald,land-cover,1590064,7065000,0.225
