Plage,echantillon,position,substrat,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation,lat,lon
Versoix,GE_Ver_3,1,3,90.0,89.0,1.0,0.0,1.0,3.0,1.0,2.0,ESE,46.27405,6.171316667
Versoix,GE_Ver_4,2,3,101.0,84.0,17.0,0.0,17.0,3.0,1.0,2.0,ESE,46.27405,6.171316667
Aubonne,VD_Aub_1,1,4,44.0,39.0,5.0,0.0,5.0,2.0,1.0,4.0,ONO,46.46026667,6.39115
Aubonne,VD_Aub_2,1,4,59.0,51.0,8.0,0.0,8.0,2.0,1.0,4.0,O,46.46026667,6.39115
Aubonne,VD_Aub_3,1,4,89.0,86.0,2.0,1.0,3.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Aubonne,VD_Aub_4,1,4,67.0,30.0,37.0,0.0,37.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Aubonne,VD_Aub_5,1,4,55.0,42.0,11.0,2.0,13.0,2.0,1.0,4.0,SO,46.46026667,6.39115
Aubonne,VD_Aub_6,2,4,87.0,76.0,10.0,1.0,11.0,2.0,1.0,4.0,ONO,46.46026667,6.39115
Aubonne,VD_Aub_7,2,4,200.0,132.0,5.0,63.0,68.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Aubonne,VD_Aub_9,2,4,156.0,105.0,17.0,34.0,51.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Clarens,VD_Cls_1,1,4,52.0,44.0,7.0,1.0,8.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_2,1,4,89.0,84.0,3.0,2.0,5.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_3,1,4,49.0,42.0,7.0,0.0,7.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_4,1,4,27.0,25.0,2.0,0.0,2.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_5,2,2,36.0,31.0,2.0,3.0,5.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_6,2,2,162.0,119.0,17.0,26.0,43.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Crans,VD_Cra_1,1,2,19.0,17.0,2.0,0.0,2.0,1.0,1.0,3.0,SSE,46.35538333,6.214033333
Cully,VD_Cul_1,1,3,128.0,117.0,11.0,0.0,11.0,1.0,1.0,1.0,SO,46.48895,6.7414
Cully,VD_Cul_2,2,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,SO,46.48895,6.7414
Gland,VD_Gld_1,1,2,40.0,26.0,8.0,6.0,14.0,2.0,1.0,1.0,E,46.4188,6.290033333
Grangettes,VD_Grs_1,1,1,697.0,181.0,14.0,502.0,516.0,2.0,1.0,2.0,NO,46.39621667,6.886716667
Grangettes,VD_Grs_2,1,1,288.0,112.0,10.0,166.0,176.0,2.0,1.0,2.0,NO,46.39621667,6.886716667
Grangettes,VD_Grs_3,1,1,99.0,89.0,10.0,0.0,10.0,2.0,1.0,2.0,NO,46.39621667,6.886716667
Grangettes,VD_Grs_4,1,1,595.0,273.0,6.0,316.0,322.0,2.0,1.0,2.0,NO,46.39621667,6.886716667
Grangettes,VD_Grs_6,2,1,622.0,564.0,5.0,53.0,58.0,2.0,1.0,2.0,NO,46.39621667,6.886716667
Grangettes,VD_Grs_7,2,1,209.0,186.0,2.0,21.0,23.0,2.0,1.0,2.0,NO,46.39621667,6.886716667
Lutry,VD_Lut_1,1,4,126.0,126.0,0.0,0.0,0.0,3.0,2.0,2.0,SSE,46.49995,6.69245
Lutry,VD_Lut_2,1,4,69.0,61.0,7.0,1.0,8.0,3.0,2.0,2.0,SE,46.49995,6.69245
Lutry,VD_Lut_3,1,4,72.0,68.0,2.0,2.0,4.0,3.0,2.0,2.0,SE,46.49995,6.69245
Lutry,VD_Lut_4,1,4,41.0,39.0,2.0,0.0,2.0,3.0,2.0,2.0,SE,46.49995,6.69245
Lutry,VD_Lut_5,2,2,91.0,77.0,4.0,10.0,14.0,3.0,2.0,2.0,SSE,46.49995,6.69245
Lutry,VD_Lut_6,2,2,432.0,394.0,19.0,19.0,38.0,3.0,2.0,2.0,SE,46.49995,6.69245
Lutry,VD_Lut_8,2,2,169.0,146.0,3.0,20.0,23.0,3.0,2.0,2.0,SE,46.49995,6.69245
Pichette,VD_Pic_1,1,3,20.0,18.0,2.0,0.0,2.0,2.0,1.0,1.0,SSE,46.46991667,6.815783333
Pichette,VD_Pic_2,1,3,113.0,107.0,6.0,0.0,6.0,2.0,1.0,1.0,S,46.46991667,6.815783333
Pichette,VD_Pic_3,1,3,83.0,75.0,8.0,0.0,8.0,2.0,1.0,1.0,SSE,46.46991667,6.815783333
Pichette,VD_Pic_4,2,3,559.0,369.0,185.0,5.0,190.0,2.0,1.0,1.0,SSE,46.46991667,6.815783333
Pichette,VD_Pic_6,2,3,2991.0,2593.0,317.0,81.0,398.0,2.0,1.0,1.0,S,46.46991667,6.815783333
Préverenges,VD_Pré_1,1,1,198.0,179.0,16.0,3.0,19.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_10,1,1,95.0,53.0,40.0,2.0,42.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_11,2,1,253.0,224.0,23.0,6.0,29.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_12,2,1,139.0,124.0,13.0,2.0,15.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_13,2,1,271.0,253.0,10.0,8.0,18.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_14,2,1,242.0,208.0,26.0,8.0,34.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_15,2,1,349.0,285.0,15.0,49.0,64.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_16,2,1,114.0,94.0,14.0,6.0,20.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_17,2,1,157.0,130.0,21.0,6.0,27.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_19,2,1,142.0,120.0,18.0,4.0,22.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_2,1,1,884.0,240.0,40.0,604.0,644.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_20,2,1,157.0,121.0,29.0,7.0,36.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_21,2,1,302.0,206.0,85.0,11.0,96.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_22,2,1,135.0,93.0,30.0,12.0,42.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_23,2,1,82.0,67.0,7.0,8.0,15.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_24,2,1,100.0,91.0,2.0,7.0,9.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_3,1,1,481.0,251.0,112.0,118.0,230.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_4,1,1,78.0,36.0,41.0,1.0,42.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_5,1,1,128.0,67.0,58.0,3.0,61.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_6,1,1,86.0,69.0,15.0,2.0,17.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_7,1,1,148.0,110.0,32.0,6.0,38.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_8,1,1,151.0,132.0,9.0,10.0,19.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Préverenges,VD_Pré_9,1,1,174.0,118.0,43.0,13.0,56.0,3.0,1.0,2.0,SO,46.51141667,6.529916667
Rolle,VD_Rol_1,1,1,99.0,67.0,30.0,2.0,32.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_10,1,1,85.0,72.0,10.0,3.0,13.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_11,2,1,192.0,155.0,36.0,1.0,37.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_12,2,1,124.0,99.0,20.0,5.0,25.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_13,2,1,355.0,156.0,198.0,1.0,199.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_14,2,1,116.0,72.0,43.0,1.0,44.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_15,2,1,175.0,131.0,42.0,2.0,44.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_16,2,1,171.0,155.0,12.0,4.0,16.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_17,2,1,105.0,84.0,16.0,5.0,21.0,3.0,2.0,1.0,SSE,46.46133333,6.350633333
Rolle,VD_Rol_18,2,1,70.0,58.0,12.0,0.0,12.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_19,2,1,134.0,97.0,33.0,4.0,37.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_2,1,1,63.0,28.0,35.0,0.0,35.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_20,2,1,136.0,98.0,31.0,7.0,38.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_21,2,1,400.0,240.0,154.0,6.0,160.0,3.0,2.0,1.0,SSE,46.46133333,6.350633333
Rolle,VD_Rol_3,1,1,78.0,60.0,15.0,3.0,18.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_4,1,1,186.0,160.0,24.0,2.0,26.0,3.0,2.0,1.0,SSO,46.46133333,6.350633333
Rolle,VD_Rol_5,1,1,121.0,98.0,21.0,2.0,23.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_6,1,1,194.0,145.0,40.0,9.0,49.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_7,1,1,200.0,177.0,21.0,2.0,23.0,3.0,2.0,1.0,S,46.46133333,6.350633333
Rolle,VD_Rol_8,1,1,130.0,83.0,41.0,6.0,47.0,3.0,2.0,1.0,SSE,46.46133333,6.350633333
Rolle,VD_Rol_9,1,1,95.0,72.0,21.0,2.0,23.0,3.0,2.0,1.0,SSE,46.46133333,6.350633333
Tolochenaz,VD_Tol_1,1,2,57.0,54.0,3.0,0.0,3.0,1.0,1.0,4.0,SE,46.4917,6.48075
Tolochenaz,VD_Tol_2,1,2,55.0,54.0,1.0,0.0,1.0,1.0,1.0,4.0,SE,46.4917,6.48075
Tolochenaz,VD_Tol_3,1,2,89.0,82.0,7.0,0.0,7.0,1.0,1.0,4.0,ENE,46.4917,6.48075
Tolochenaz,VD_Tol_4,1,2,182.0,176.0,6.0,0.0,6.0,1.0,1.0,4.0,ENE,46.4917,6.48075
Vidy,VD_Vid_1,1,1,104.0,102.0,2.0,0.0,2.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_10,2,1,211.0,171.0,12.0,28.0,40.0,3.0,2.0,2.0,S,46.51121667,6.6109
Vidy,VD_Vid_11,2,1,176.0,124.0,37.0,15.0,52.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_12,2,1,241.0,129.0,62.0,50.0,112.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_13,2,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,S,46.51121667,6.6109
Vidy,VD_Vid_2,1,1,213.0,202.0,10.0,1.0,11.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_3,1,1,40.0,39.0,1.0,0.0,1.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_4,1,1,26.0,24.0,2.0,0.0,2.0,3.0,2.0,2.0,S,46.51121667,6.6109
Vidy,VD_Vid_5,1,1,51.0,36.0,13.0,2.0,15.0,3.0,2.0,2.0,S,46.51121667,6.6109
Vidy,VD_Vid_6,1,1,35.0,34.0,1.0,0.0,1.0,3.0,2.0,2.0,SSE,46.51121667,6.6109
Vidy,VD_Vid_7,2,1,293.0,214.0,45.0,34.0,79.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_8,2,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Vidy,VD_Vid_9,2,1,173.0,130.0,15.0,28.0,43.0,3.0,2.0,2.0,SO,46.51121667,6.6109
Bouveret,VS_Bou_1,1,1,82.0,68.0,14.0,0.0,14.0,3.0,1.0,2.0,ONO,46.389,6.859816667
Bouveret,VS_Bou_10,2,1,105.0,80.0,14.0,11.0,25.0,3.0,1.0,2.0,O,46.389,6.859816667
Bouveret,VS_Bou_11,2,1,971.0,883.0,21.0,67.0,88.0,3.0,1.0,2.0,O,46.389,6.859816667
Bouveret,VS_Bou_12,2,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,O,46.389,6.859816667
Bouveret,VS_Bou_2,1,1,109.0,100.0,9.0,0.0,9.0,3.0,1.0,2.0,ONO,46.389,6.859816667
Bouveret,VS_Bou_3,1,1,37.0,36.0,1.0,0.0,1.0,3.0,1.0,2.0,O,46.389,6.859816667
Bouveret,VS_Bou_4,1,1,57.0,37.0,18.0,2.0,20.0,3.0,1.0,2.0,O,46.389,6.859816667
Bouveret,VS_Bou_5,1,1,258.0,199.0,59.0,0.0,59.0,3.0,1.0,2.0,O,46.389,6.859816667
Bouveret,VS_Bou_6,1,1,35.0,35.0,0.0,0.0,0.0,3.0,1.0,2.0,OSO,46.389,6.859816667
Bouveret,VS_Bou_7,1,1,58.0,53.0,5.0,0.0,5.0,3.0,1.0,2.0,OSO,46.389,6.859816667
Bouveret,VS_Bou_8,2,1,255.0,185.0,12.0,58.0,70.0,3.0,1.0,2.0,ONO,46.389,6.859816667
Bouveret,VS_Bou_9,2,1,147.0,91.0,12.0,44.0,56.0,3.0,1.0,2.0,ONO,46.389,6.859816667
